Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
the-lux-tailored-straight-leg-pants,The Lux' Tailored Straight Leg Pants,"<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one.</p>
<h4>Fashion has always been so temporary and uncertain</h4>
<ol>
<li>With the great pleasure we are offering you our goods</li>
<li>Fashion satisfies our willingness to be attractive</li>
<li>That is why we are offering you the result of great market and technological research</li>
<li>The unique combination of fair price, extraordinary style and perfect quality</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of <strong>different groups of potential clients</strong> very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Fashion has always been so temporary and uncertain.</p>
<p>And also<a target=""_blank"" href=""https://www.youtube.com/watch?v=E_IG2ubeTME"" rel=""noopener noreferrer""> fashion is the detector of prosperity and social rank</a>. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>",SuitUP,Casual,"Black, Gray, Olive, sweaters, t-shirts",true,Color,Black,,,,,654654654-56,0,shopify,56,deny,manual,340.00,,true,false,'541265746854231,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_1.jpg?v=1523610338,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_1.jpg?v=1523610338,kg,
the-lux-tailored-straight-leg-pants,,,,,,,,Gray,,,,,654654654-57,0,shopify,100,deny,manual,340.00,,true,false,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_4.jpg?v=1523610338,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_2.jpg?v=1523610338,kg,
the-lux-tailored-straight-leg-pants,,,,,,,,Olive,,,,,654654654-58,0,shopify,0,deny,manual,340.00,,true,false,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_5.jpg?v=1523610338,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_3.jpg?v=1523610338,kg,
the-lux-tailored-straight-leg-pants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_2.jpg?v=1523610338,4,,,,,,,,,,,,,,,,,,,,
the-lux-tailored-straight-leg-pants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_3.jpg?v=1523610338,5,,,,,,,,,,,,,,,,,,,,
sloane-crewneck-cashmere-sweater,Sloane Crewneck Cashmere Sweater,"<h3>Here you can find garments of all sizes, colors, styles and fabrics</h3>
<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one. Fashion has always been so temporary and uncertain. You can’t keep up with it.</p>
<p>Just take a look at our assortment:</p>
<ol>
<li>We have foreseen all your needs</li>
<li>The most comfortable and safety clothing for your hobby is presented in our store</li>
<li>We assure you it is really important, it shows that our good has such capacity as flexibility</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. <strong>Our employees put in great efforts to make this commodity.</strong> Fashion has always been so temporary and uncertain.</p>
<h4>You have made the right choice</h4>
<p><iframe src=""https://www.youtube-nocookie.com/embed/0TSSoT4c2BI?rel=0"" allowfullscreen="""" frameborder=""0"" height=""720"" width=""1280""></iframe></p>
<p>Our product is universal because it suits <a target=""_blank"" href=""https://www.youtube.com/watch?v=CHXRTStPrUQ"" rel=""noopener noreferrer"">different customers with different demands</a>. We assure you it is really important, it shows that our good has such capacity as flexibility. And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality.<br><br><br></p>",SuitUP,Vintage,"Gray, Red",true,Color,LightGrey,,,,,'327038,4500,shopify,100,deny,manual,110.00,115.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_1.jpg?v=1522316120,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_1.jpg?v=1522316120,kg,
sloane-crewneck-cashmere-sweater,,,,,,,,DarkRed,,,,,'327039,4500,shopify,100,deny,manual,110.00,115.00,true,true,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_2.jpg?v=1522316120,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_3.jpg?v=1522316120,kg,
sloane-crewneck-cashmere-sweater,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_3.jpg?v=1522316120,3,,,,,,,,,,,,,,,,,,,,
sloane-crewneck-cashmere-sweater,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_4.jpg?v=1522316120,4,,,,,,,,,,,,,,,,,,,,
sloane-crewneck-cashmere-sweater,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_5.jpg?v=1522316120,5,,,,,,,,,,,,,,,,,,,,
